Word,No.
Ago,26
Back,27
Bittersweet,28
Bring,29
Brother,30
Calm,31
Child,32
Childhood,33
Christmas,34
Close,35
Comfort,36
Contemplate,37
Day,38
Daydream,39
Desire,40
Dream,41
Dwell,42
Emotion,43
Enjoy,44
Event,45
Experience,46
Familiar,47
Family,48
Father,49
Feel,50
Fond,51
Friend,52
Fun,53
Funny,54
Good,55
Happiness,56
Happy,57
Heart,58
Holiday,59
Home,60
Home-missing,61
Homesick,62
Homesickness,63
House,64
Idealized,65
Immerse,66
Introspect,67
Keepsake,68
Kid,69
Life,70
Live,71
Loneliness,72
Lonely,73
Loss,74
Love,75
Meet,76
Memory,77
Miss,78
Mother,79
Movie,80
Music,81
Nostalgic,82
Old,83
Parent,84
Past,85
Peaceful,86
People,87
Personal,88
Pet,89
Photo,90
Place,91
Play,92
Pleasant,93
Positive,94
Relationship,95
Relaxed,96
Relive,97
Remember,98
Reminder,
Reminisce,
